ESTADO,ID,HOMICIDIO,DELITOS_CON_VIOLENCIA,DELITOS_CON_ARMAS_DE_FUEGO,DELINCUENCIA_ORGANIZADA,CÁRCEL_SIN_SENTENCIA,CALIFICACION_GENERAL,IMPACTO_ECONOMICO_PER_CAPITA,IMPACTO_ECONOMICO_BILLONES
AGUASCALIENTES,AS,1.219,4.396,1.504,2.636,1,2.223,2.223,45.8
BAJA_CALIFORNIA,BC,4.641,4.66,4.583,2.598,1.47,3.951,3.951,288.8
BAJA_CALIFORNIA_SUR,BS,5,4.249,5,5,1.348,4.55,4.55,88.9
CAMPECHE,CC,1.312,1.117,1.105,1.397,4.24,1.482,1.482,19.3
CHIAPAS,CS,1.426,1.468,1.323,1.89,2.182,1.572,1.572,95.3
CHIHUAHUA,CH,3.916,2.544,4.176,1.354,1.878,2.979,2.979,227.6
COAHUILA,CL,1.344,2.242,1.26,1.361,1.161,1.505,1.505,69
COLIMA,CM,5,3.146,5,1.525,1.985,3.64,3.64,82.8
DURANGO,DG,1.576,2.902,1.579,2.116,2.5,2.043,2.043,57.6
GUANAJUATO,GT,2.273,3.927,3.735,1,1.006,2.544,2.544,258.8
GUERRERO,GR,4.934,2.644,4.926,4.868,1.378,4.153,4.153,259
HIDALGO,HG,1.314,2.833,1.477,1.784,1.223,1.757,1.757,81.1
JALISCO,JC,1.954,2.876,2.437,2.503,1.717,2.341,2.341,245.8
ESTADO_DE_MÉXICO,MC,1.658,4.8,2.113,2.521,1.161,2.55,2.55,721.7
CIUDAD_DE_MÉXICO,DF,1.629,5,3.089,2.171,1,2.693,2.693,331.5
MICHOACÁN,MN,2.678,2.247,3.781,1.29,1.479,2.42,2.42,167.9
MORELOS,MS,2.826,4.247,3.511,1.739,1.013,2.888,2.888,105
NAYARIT,NT,2.322,1,2.286,1,5,1.974,1.974,35
NUEVO_LEÓN,NL,1.568,2.557,2.029,5,1.435,2.578,2.578,154.7
OAXACA,OC,2.241,2.084,2.74,1.405,1.774,2.095,2.095,134.5
PUEBLA,PL,1.825,2.382,2.065,1.506,1.318,1.882,1.882,159.3
QUERÉTARO,QT,1.413,4.527,1.532,1.183,1.01,2.01,2.01,72.7
QUINTANA_ROO,QR,2.101,2.978,2.508,2.519,2.074,2.452,2.452,62.6
SAN_LUIS_POTOSÍ,SP,1.902,3.236,2.299,3.203,1.115,2.472,2.472,103.1
SINALOA,SL,3.775,1.981,4.759,1.977,1.697,3.051,3.051,157.1
SONORA,SR,2.294,1.89,2.545,1.661,3.586,2.23,2.23,102.6
TABASCO,TC,1.799,4.769,2.447,4.055,1.132,2.973,2.973,93.7
TAMAULIPAS,TS,2.564,2.659,2.77,3.594,1.293,2.74,2.74,153.3
TLAXCALA,TL,1.377,1.848,1.264,1.097,1.21,1.381,1.381,25.8
VERACRUZ,VZ,2.201,1.587,2.332,1.901,1.731,1.998,1.998,211.2
YUCATÁN,YN,1,1.329,1,1.422,1.119,1.167,1.167,29
ZACATECAS,ZS,3.403,2.332,4.001,4.268,1.235,3.306,3.306,82.3
