ESTADO,ID,HOMICIDIO,DELITOS_CON_VIOLENCIA,DELITOS_CON_ARMAS_DE_FUEGO,DELINCUENCIA_ORGANIZADA,CÁRCEL_SIN_SENTENCIA,CALIFICACION_GENERAL,IMPACTO_ECONOMICO_PER_CAPITA,IMPACTO_ECONOMICO_BILLONES,,,
AGUASCALIENTES,AS,1.328,3.87,1.362,2.675,1.31,2.15,"41,929",60.9,,,
BAJA_CALIFORNIA,BC,5,3.58,4.506,4.732,2.009,4.307,"70,730",261,,,
BAJA_CALIFORNIA_SUR,BS,1.354,3.143,1.209,5,1.504,2.478,"38,308",31.5,,,
CAMPECHE,CC,1.518,1.5,1.584,1.785,1.994,1.622,"25,796",26.2,,,
CHIAPAS,CS,1.475,1.864,1.472,1.56,1.959,1.613,"20,558",119.5,,,
CHIHUAHUA,CH,4.236,2.823,4.535,2.876,1.783,3.517,"57,570",220.9,,,
COAHUILA,CL,1.257,2.57,1.178,3.251,1.653,1.967,"17,820",58.1,,,
COLIMA,CM,4.298,3.997,4.331,4.251,1.258,3.989,"72,851",58.1,,,
DURANGO,DG,1.447,2.728,1.532,2.717,2.081,2.051,"22,446",42.3,,,
GUANAJUATO,GT,3.836,2.557,4.817,3.809,1.446,3.567,"51,593",324,,,
GUERRERO,GR,2.881,2.242,3.315,3.517,1.562,2.862,"36,422",133.6,,,
HIDALGO,HG,1.481,2.744,1.616,1.682,1.508,1.817,"25,537",79.7,,,
JALISCO,JC,2.448,2.762,2.646,2.371,1.939,2.496,"35,347",300.1,,,
ESTADO_DE_MÉXICO,MC,1.796,5,2.33,3.569,1.243,2.904,"33,327",586.7,,,
CIUDAD_DE_MÉXICO,DF,1.599,4.394,2.075,2.36,1.414,2.426,"45,578",410.4,,,
MICHOACÁN,MN,3.853,2.554,4.83,1.896,1.673,3.19,"64,572",313.7,,,
MORELOS,MS,3.889,3.793,3.531,2.473,1.382,3.299,"62,202",128.4,,,
NAYARIT,NT,1.868,1.309,1.557,1.573,4.901,1.869,"24,177",31.6,,,
NUEVO_LEÓN,NL,1.943,3.281,2.457,4.404,1.419,2.802,"35,927",204.3,,,
OAXACA,OC,2.049,2.984,2.366,2.162,1.517,2.29,"34,695",144.5,,,
PUEBLA,PL,1.683,3.432,1.821,1.583,1.502,2.042,"40,678",271.1,,,
QUERÉTARO,QT,1.457,3.079,1.472,4.139,1.259,2.348,"43,686",101.3,,,
QUINTANA_ROO,QR,2.926,4.384,2.723,2.799,1.52,3.052,"54,004",95.1,,,
SAN_LUIS_POTOSÍ,SP,2.329,3.309,2.79,3.18,1.383,2.73,"34,223",98.8,,,
SINALOA,SL,2.013,2.793,2.077,2.762,1.351,2.294,"28,963",92.1,,,
SONORA,SR,4.185,2.7,3.907,3.639,1.95,3.524,"57,770",179.7,,,
TABASCO,TC,1.898,3.023,2.076,1.755,1.567,2.113,"29,803",77.5,,,
TAMAULIPAS,TS,1.964,2.656,1.73,2.201,1.355,2.064,"27,608",101.6,,,
TLAXCALA,TL,1.482,1.304,1.342,1.226,3.409,1.517,"19,713",27.5,,,
VERACRUZ,VZ,1.77,2.388,2.04,2.181,1.62,2.028,"21,855",187.7,,,
YUCATÁN,YN,1.103,1.201,1.045,1.318,2.308,1.254,"12,064",27.6,,,
ZACATECAS,ZS,5,2.706,5,5,1.36,4.227,"77,871",130.7,,,
